City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
144,Georgetown,MY,299.82,5.4112,100.3354,Cititel Penang
145,Undory,RU,266.15,54.6085,48.3928,"Serebryanyy Istochnik, Dom Otdykha"
146,Arraial Do Cabo,BR,302.15,-22.9661,-42.0278,Pousada Porto Praia
147,Huarmey,PE,298.16,-10.0681,-78.1522,Hotel Miramar
148,Chase,CA,274.26,50.8165,-119.6857,Chase Country Inn Motel
149,Severo-Yeniseyskiy,RU,232.11,60.3725,93.0408,Aktolik
150,Aklavik,CA,249.15,68.2191,-135.0107,Aklavik Inn
151,Qaanaaq,GL,248.7,77.484,-69.3632,Qaanaaq Hotel
152,Ola,RU,249.83,59.5833,151.2833,
153,Walla Walla,US,276.48,46.0646,-118.34299999999999,Holiday Inn Express Walla Walla
154,Komsomolskiy,UZ,269.15,40.4272,71.7189,Ikathouse
156,Viedma,AR,296.48,-40.8135,-62.9967,Hotel Cristal
157,Mana,GF,299.17,5.6592,-53.7767,LE SAMANA
158,Aripuana,BR,303.19,-9.1667,-60.6333,
159,Khash,IR,276.53,28.2211,61.2158,دفتر پیشخوان دولت جمال زهی (خالد)
160,Riyadh,SA,289.15,24.6877,46.7219,InterContinental Riyadh
161,Khatanga,RU,241.71,71.9667,102.5,"Gostinitsa ""Zapolyar'ye"""
162,Montepuez,MZ,294.38,-13.1256,38.9997,Complexo Messalo
163,Hami,CN,266.08,42.8,93.45,Laoyutang Resort
164,Barra Do Garcas,BR,302.15,-15.89,-52.2567,Hotel Pousada Tropical
165,Coihaique,CL,286.15,-45.5752,-72.0662,Diego De Almagro Coyhaique
166,Puqi,CN,279.37,29.7167,113.8833,Ramada Plaza Chibi
167,Port Hedland,AU,298.15,-20.3167,118.5667,The Esplanade Hotel
168,Mandera,KE,301.63,3.9366,41.867,Kornesh Hotel and Lodging
169,Kahului,US,298.15,20.8947,-156.47,Maui Seaside Hotel
170,Richards Bay,ZA,299.68,-28.783,32.0377,BON Hotel Waterfront Richards Bay
171,Talnakh,RU,242.46,69.4865,88.3972,Talnakh Hotel
172,Dingle,PH,295.78,10.9995,122.6711,SEGAYA PROPERTY
173,Victoria,HK,292.04,22.2855,114.1577,Mini Hotel Central
174,Tiksi,RU,235.01,71.6872,128.8694,Arktika
175,Port Moresby,PG,297.15,-9.4431,147.1797,Lamana Hotel
176,Baykit,RU,230.48,61.67,96.37,
177,Vostok,RU,262.05,46.4856,135.8833,
178,Barra Patuca,HN,301.37,15.8,-84.2833,
179,Scarborough,GB,275.37,54.2797,-0.4044,Ambassador
180,Marsh Harbour,BS,297.95,26.5412,-77.0636,Abaco Beach Resort
181,Nantucket,US,275.15,41.2835,-70.0995,Jared Coffin House
182,Fortuna,US,278.71,40.5982,-124.1573,Super 8 by Wyndham Fortuna
183,Ugoofaaru,MV,300.35,5.6667,73.0,Ungoofaaru Inn
184,East London,ZA,296.83,-33.0153,27.9116,Tu Casa
185,Brae,GB,272.15,60.3964,-1.3530000000000002,Busta House Hotel
186,Nuevo Progreso,MX,301.48,23.1667,-97.95,Balneario Rio el Paraiso
187,Meulaboh,ID,297.92,4.1363,96.1285,Kost Pria
188,Adrar,MR,295.27,20.5022,-10.0711,
190,Namatanai,PG,300.42,-3.6667,152.4333,Namatanai Hotel
191,Alihe,CN,246.62,50.5667,123.7167,Alihe Forestry Hotel
192,Orangeburg,US,295.37,33.4918,-80.8557,Super 8 Orangeburg
193,Avera,US,295.15,33.194,-82.5271,
194,Half Moon Bay,US,284.26,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
195,Ixtapa,MX,296.15,20.7,-105.2,Container Inn Puerto Vallarta
196,Dubbo,AU,296.15,-32.25,148.6167,Comfort Inn Blue Lagoon
197,Tukrah,LY,289.57,32.5341,20.5791,Lokta restaurant
198,Lata,PT,288.71,40.1629,-8.3327,Casa Maquia
199,Cabo San Lucas,MX,294.26,22.8909,-109.9124,Hotel Tesoro Los Cabos
200,Qui Nhon,VN,294.61,13.7667,109.2333,Khách sạn Hải Âu Quy Nhơn - Seagull Hotel
201,Salisbury,GB,280.93,51.0693,-1.7957,Mercure Salisbury White Hart Hotel
202,Sangar,RU,224.85,63.9242,127.4739,
203,Dongsheng,CN,265.7,39.8161,109.9776,Crowne Plaza Ordos
204,Saskylakh,RU,236.63,71.9167,114.0833,
205,Panaba,MX,303.75,21.2833,-88.2667,Hotel Don Fernando
206,Ahipara,NZ,293.92,-35.1667,173.1667,Ahipara Holiday Park
207,Lalibela,ET,286.12,12.0333,39.0333,Honey Land Hotel Lalibela
208,Carnarvon,AU,294.15,-24.8667,113.6333,Hospitality Carnarvon
209,Hun,LY,290.97,29.1268,15.9477,Alrwasi Hotel
210,Chokurdakh,RU,239.83,70.6333,147.9167,
211,Hwange,ZW,292.7,-18.3693,26.5019,Hwange Colliery Guest House
212,Taunsa,PK,282.32,30.7048,70.6505,Aghosh Hotel. آغوش ہوٹل
213,Codrington,AU,285.06,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
214,Tiznit,MA,292.16,29.5833,-9.5,
215,Karratha,AU,302.38,-20.7377,116.8463,ibis Styles Karratha
216,Port Macquarie,AU,295.15,-31.4333,152.9167,Rydges Port Macquarie
217,San Cristobal,VE,303.15,7.7669,-72.225,Pirineos
218,Goderich,CA,270.15,43.7501,-81.7165,Harmony Inn
219,Semey,KZ,263.17,50.4111,80.2275,Hotel Zhana-Tau
220,Wicklow,IE,283.15,53.0,-6.4167,Glenmalure Hostel
221,Necochea,AR,297.03,-38.5473,-58.7368,dyd -mar Hotel
222,Noumea,NC,299.82,-22.2763,166.4572,Hôtel Le Lagon
223,Tongchuan,CN,274.38,35.0806,109.0897,Tongchuan Hotel
224,Chuy,UY,302.91,-33.6971,-53.4616,Nuevo Hotel Plaza
225,Baruun-Urt,MN,247.61,46.6806,113.2792,Ахмадын амралт сувилал
226,Ulladulla,AU,291.48,-35.35,150.4667,Sandpiper Motel
227,Conakry,GN,299.83,9.538,-13.6773,Riviera Royal Hotel
228,Cockburn Town,TC,299.15,21.4612,-71.1419,Osprey Beach Hotel
229,Basco,PH,295.35,20.4487,121.9702,Nathaniel's Lodge
230,Cap Malheureux,MU,297.59,-19.9842,57.6142,Pereybere Hotel & Spa
231,Longyearbyen,SJ,258.15,78.2186,15.6401,"Radisson Blu Polar Hotel, Spitsbergen"
232,Zadar,HR,271.15,44.1197,15.2422,Hotel Kolovare
233,Iquique,CL,297.15,-20.2208,-70.1431,Backpacker`s Hostel Iquique
234,Uddevalla,SE,268.15,58.3478,11.9424,Best Western Hotel Carlia
235,Riberalta,BO,303.15,-10.9833,-66.1,Hotel Colonial
236,Uniontown,US,281.48,39.9001,-79.7164,Hampton Inn Uniontown
237,Laguna,US,283.15,38.421,-121.4238,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
238,Carauari,BR,303.02,-4.8828,-66.8958,Hotel Fellip
239,Sol-Iletsk,RU,270.8,51.1631,54.9918,Raduzhnaya
240,Kendari,ID,297.93,-3.945,122.4989,Hotel Wixel
