City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
71,Muana,BR,-1.5283,-49.2167,300.1,88,100,2.61
72,Leningradskiy,RU,69.3833,178.4167,245.23,86,100,3.86
73,Saint George,US,37.1041,-113.5841,277.15,52,1,2.06
74,Mareeba,AU,-17.0,145.4333,297.15,83,75,5.66
75,San Patricio,US,28.017,-97.5169,298.71,57,75,4.12
76,Souillac,MU,-20.5167,57.5167,297.15,83,20,3.09
77,Nuuk,GL,64.1835,-51.7216,267.15,73,75,4.12
78,Tateyama,JP,34.9833,139.8667,281.15,87,75,2.57
79,Millbrook,US,32.4799,-86.3619,294.26,49,90,1.25
80,Butaritari,KI,3.0707,172.7902,300.05,75,3,1.87
81,Kodiak,US,57.79,-152.4072,275.15,60,1,3.09
82,Port Lincoln,AU,-34.7333,135.8667,289.55,74,98,6.85
83,Tura,IN,25.5198,90.2201,286.38,59,0,1.19
84,Portland,US,45.5234,-122.6762,278.15,65,75,8.75
85,Aitape,PG,-3.1374,142.3475,298.85,84,100,3.15
86,Apac,UG,1.9756,32.5386,297.29,33,76,2.1
87,Sitka,US,57.0531,-135.33,274.15,64,20,1.54
88,Goure,NE,13.9835,10.2704,297.59,7,39,2.68
89,Berlevag,NO,70.8578,29.0864,269.15,86,75,14.4
90,Hambantota,LK,6.1241,81.1185,295.95,76,100,6.92
91,Upernavik,GL,72.7868,-56.1549,256.17,90,100,5.69
92,Provideniya,RU,64.3833,-173.3,259.15,78,90,4.0
93,Tasiilaq,GL,65.6145,-37.6368,261.15,52,90,6.17
94,Westport,US,41.1415,-73.3579,273.15,86,90,5.66
95,Avarua,CK,-21.2078,-159.775,303.15,70,72,7.2
96,Touros,BR,-5.1989,-35.4608,301.15,69,0,7.2
97,Lakes Entrance,AU,-37.8811,147.981,285.93,1,8,2.68
98,Mataura,NZ,-46.1927,168.8643,294.82,55,100,5.36
99,Tuatapere,NZ,-46.1333,167.6833,295.37,55,100,5.81
100,Castro,BR,-24.7911,-50.0119,296.52,81,100,3.0
101,Rovaniemi,FI,66.5,25.7167,269.15,93,90,3.6
102,Orange Cove,US,36.6244,-119.3137,283.15,87,75,3.09
103,Beira,MZ,-19.8436,34.8389,300.93,83,40,2.84
